epoch,train_loss,validation_loss
0,0.6931471805599453,0.6931471805599453
200,0.42225921421410745,1.4359440466516669
400,0.40272397887946515,1.6908663047913404
600,0.39607113667001315,1.8105321937692918
800,0.3931236867968171,1.87501532012179
1000,0.3916788633663481,1.912953836338385
1200,0.39092434941275583,1.9365621491628555
1400,0.39050879839064034,1.9517219205649274
1600,0.39026826983452967,1.9615892687103003
1800,0.3901224037942765,1.9680174951939222
2000,0.39003013674820486,1.972167895021836
